Sentence,Tags
The Ebola virus can cause severe viral hemorrhagic fever outbreaks.,"[('The', 'O'), ('Ebola', 'B'), ('virus', 'I'), ('can', 'O'), ('cause', 'O'), ('severe', 'O'), ('viral', 'O'), ('hemorrhagic', 'O'), ('fever', 'B'), ('outbreaks.', 'O')]"
"Psoriascan be is a skin disease that causes red, itchy scaly patches, most commonly on the knees, elbows, trunk, and scalp.","[('Psoriascan', 'O'), ('be', 'O'), ('is', 'O'), ('a', 'O'), ('skin', 'O'), ('disease', 'B'), ('that', 'O'), ('causes', 'O'), ('red,', 'O'), ('itchy', 'O'), ('scaly', 'O'), ('patches,', 'O'), ('most', 'O'), ('commonly', 'O'), ('on', 'O'), ('the', 'O'), ('knees,', 'O'), ('elbows,', 'O'), ('trunk,', 'O'), ('and', 'O'), ('scalp.', 'O')]"
"Gonorrhea can be a sexually transmitted infection that can cause infections in the genitals, rectum, and throat.","[('Gonorrhea', 'O'), ('can', 'O'), ('be', 'O'), ('a', 'O'), ('sexually', 'O'), ('transmitted', 'O'), ('infection', 'O'), ('that', 'O'), ('can', 'O'), ('cause', 'O'), ('infections', 'O'), ('in', 'O'), ('the', 'O'), ('genitals,', 'O'), ('rectum,', 'O'), ('and', 'O'), ('throat.', 'O')]"
Syphilcan be is a bacterial infection usually spread by sexual contact that starts as a painless sore.,"[('Syphilcan', 'O'), ('be', 'O'), ('is', 'O'), ('a', 'O'), ('bacterial', 'O'), ('infection', 'O'), ('usually', 'O'), ('spread', 'O'), ('by', 'O'), ('sexual', 'O'), ('contact', 'O'), ('that', 'O'), ('starts', 'O'), ('as', 'O'), ('a', 'O'), ('painless', 'O'), ('sore.', 'O')]"
"Atrial fibrillation can be an irregular and often rapid heart rate that can increase the risk of strokes, heart failure, and other heart-related complications.","[('Atrial', 'O'), ('fibrillation', 'O'), ('can', 'O'), ('be', 'O'), ('an', 'O'), ('irregular', 'O'), ('and', 'O'), ('often', 'O'), ('rapid', 'O'), ('heart', 'B'), ('rate', 'O'), ('that', 'O'), ('can', 'O'), ('increase', 'O'), ('the', 'O'), ('risk', 'O'), ('of', 'O'), ('strokes,', 'O'), ('heart', 'B'), ('failure,', 'O'), ('and', 'O'), ('other', 'O'), ('heart-related', 'O'), ('complications.', 'O')]"
"Chronic kidney dcan beease affects kidney function over time, leading to a need for dialysis or kidney transplant.","[('Chronic', 'O'), ('kidney', 'O'), ('dcan', 'O'), ('beease', 'O'), ('affects', 'O'), ('kidney', 'O'), ('function', 'O'), ('over', 'O'), ('time,', 'O'), ('leading', 'O'), ('to', 'O'), ('a', 'O'), ('need', 'O'), ('for', 'O'), ('dialysis', 'O'), ('or', 'O'), ('kidney', 'O'), ('transplant.', 'O')]"
"The Zika virus causes a mild infection in most cases, but it can be serious for pregnant women, as it's linked to birth defects.","[('The', 'O'), ('Zika', 'B'), ('virus', 'I'), ('causes', 'O'), ('a', 'O'), ('mild', 'O'), ('infection', 'O'), ('in', 'O'), ('most', 'O'), ('cases,', 'O'), ('but', 'O'), ('it', 'O'), ('can', 'O'), ('be', 'O'), ('serious', 'O'), ('for', 'O'), ('pregnant', 'O'), ('women,', 'O'), ('as', 'O'), (""it's"", 'O'), ('linked', 'O'), ('to', 'O'), ('birth', 'O'), ('defects.', 'O')]"
Chronic obstructive pulmonary dcan beease (COPD) is a chronic inflammatory lung disease that causes obstructed airflow from the lungs.,"[('Chronic', 'O'), ('obstructive', 'O'), ('pulmonary', 'O'), ('dcan', 'O'), ('beease', 'O'), ('(COPD)', 'O'), ('is', 'O'), ('a', 'O'), ('chronic', 'O'), ('inflammatory', 'O'), ('lung', 'O'), ('disease', 'B'), ('that', 'O'), ('causes', 'O'), ('obstructed', 'O'), ('airflow', 'O'), ('from', 'O'), ('the', 'O'), ('lungs.', 'O')]"
Lupus can be a systemic autoimmune disease that occurs when your body's immune system attacks your own tissues and organs.,"[('Lupus', 'O'), ('can', 'O'), ('be', 'O'), ('a', 'O'), ('systemic', 'O'), ('autoimmune', 'O'), ('disease', 'B'), ('that', 'O'), ('occurs', 'O'), ('when', 'O'), ('your', 'O'), (""body's"", 'O'), ('immune', 'O'), ('system', 'O'), ('attacks', 'O'), ('your', 'O'), ('own', 'O'), ('tissues', 'O'), ('and', 'O'), ('organs.', 'O')]"
"The development of atheroscleroscan be can lead to coronary artery disease, characterized by the narrowing or blocking of coronary arteries.","[('The', 'O'), ('development', 'O'), ('of', 'O'), ('atheroscleroscan', 'O'), ('be', 'O'), ('can', 'O'), ('lead', 'O'), ('to', 'O'), ('coronary', 'O'), ('artery', 'O'), ('disease,', 'O'), ('characterized', 'O'), ('by', 'O'), ('the', 'O'), ('narrowing', 'O'), ('or', 'O'), ('blocking', 'O'), ('of', 'O'), ('coronary', 'O'), ('arteries.', 'O')]"
"Peptic ulcer dcan beease involves the formation of open sores in the lining of the stomach, upper small intestine, or esophagus.","[('Peptic', 'O'), ('ulcer', 'O'), ('dcan', 'O'), ('beease', 'O'), ('involves', 'O'), ('the', 'O'), ('formation', 'O'), ('of', 'O'), ('open', 'O'), ('sores', 'O'), ('in', 'O'), ('the', 'O'), ('lining', 'O'), ('of', 'O'), ('the', 'O'), ('stomach,', 'O'), ('upper', 'O'), ('small', 'O'), ('intestine,', 'O'), ('or', 'O'), ('esophagus.', 'O')]"
The transmcan besion of the West Nile virus to humans typically occurs through the bite of an infected mosquito.,"[('The', 'O'), ('transmcan', 'O'), ('besion', 'O'), ('of', 'O'), ('the', 'O'), ('West', 'O'), ('Nile', 'O'), ('virus', 'B'), ('to', 'O'), ('humans', 'O'), ('typically', 'O'), ('occurs', 'O'), ('through', 'O'), ('the', 'O'), ('bite', 'O'), ('of', 'O'), ('an', 'O'), ('infected', 'O'), ('mosquito.', 'O')]"
Crohn's dcan beease is a type of inflammatory bowel disease (IBD) that may affect any part of the gastrointestinal tract.,"[(""Crohn's"", 'O'), ('dcan', 'O'), ('beease', 'O'), ('is', 'O'), ('a', 'O'), ('type', 'O'), ('of', 'O'), ('inflammatory', 'O'), ('bowel', 'O'), ('disease', 'B'), ('(IBD)', 'O'), ('that', 'O'), ('may', 'O'), ('affect', 'O'), ('any', 'O'), ('part', 'O'), ('of', 'O'), ('the', 'O'), ('gastrointestinal', 'O'), ('tract.', 'O')]"
"Polio can be a contagious viral illness that in its most severe form causes nerve injury leading to paralysis, difficulty breathing, and sometimes death.","[('Polio', 'O'), ('can', 'O'), ('be', 'O'), ('a', 'O'), ('contagious', 'O'), ('viral', 'O'), ('illness', 'O'), ('that', 'O'), ('in', 'O'), ('its', 'O'), ('most', 'O'), ('severe', 'O'), ('form', 'O'), ('causes', 'O'), ('nerve', 'O'), ('injury', 'O'), ('leading', 'O'), ('to', 'O'), ('paralysis,', 'O'), ('difficulty', 'O'), ('breathing,', 'O'), ('and', 'O'), ('sometimes', 'O'), ('death.', 'O')]"
"Anorexia nervosa can be an eating disorder characterized by an abnormally low body weight, intense fear of gaining weight, and a distorted perception of body weight.","[('Anorexia', 'O'), ('nervosa', 'O'), ('can', 'O'), ('be', 'O'), ('an', 'O'), ('eating', 'O'), ('disorder', 'O'), ('characterized', 'O'), ('by', 'O'), ('an', 'O'), ('abnormally', 'O'), ('low', 'O'), ('body', 'O'), ('weight,', 'O'), ('intense', 'O'), ('fear', 'O'), ('of', 'O'), ('gaining', 'O'), ('weight,', 'O'), ('and', 'O'), ('a', 'O'), ('distorted', 'O'), ('perception', 'O'), ('of', 'O'), ('body', 'O'), ('weight.', 'O')]"
The transmcan besion of Lyme disease occurs through the bite of infected ticks carrying the bacterium Borrelia burgdorferi.,"[('The', 'O'), ('transmcan', 'O'), ('besion', 'O'), ('of', 'O'), ('Lyme', 'B'), ('disease', 'I'), ('occurs', 'O'), ('through', 'O'), ('the', 'O'), ('bite', 'O'), ('of', 'O'), ('infected', 'O'), ('ticks', 'O'), ('carrying', 'O'), ('the', 'O'), ('bacterium', 'O'), ('Borrelia', 'O'), ('burgdorferi.', 'O')]"
Yellow fever can be a viral infection transmitted by a particular species of mosquitoes.,"[('Yellow', 'O'), ('fever', 'B'), ('can', 'O'), ('be', 'O'), ('a', 'O'), ('viral', 'O'), ('infection', 'O'), ('transmitted', 'O'), ('by', 'O'), ('a', 'O'), ('particular', 'O'), ('species', 'O'), ('of', 'O'), ('mosquitoes.', 'O')]"
Acute myeloid leukemia presents a challenge in blood cell production and function.,"[('Acute', 'O'), ('myeloid', 'O'), ('leukemia', 'O'), ('presents', 'O'), ('a', 'O'), ('challenge', 'O'), ('in', 'O'), ('blood', 'O'), ('cell', 'O'), ('production', 'O'), ('and', 'O'), ('function.', 'O')]"
The incidence of skin cancer increases with excessive exposure to ultraviolet radiation.,"[('The', 'O'), ('incidence', 'O'), ('of', 'O'), ('skin', 'O'), ('cancer', 'B'), ('increases', 'O'), ('with', 'O'), ('excessive', 'O'), ('exposure', 'O'), ('to', 'O'), ('ultraviolet', 'O'), ('radiation.', 'O')]"
Glaucoma can lead to vcan beion loss if not treated timely.,"[('Glaucoma', 'O'), ('can', 'O'), ('lead', 'O'), ('to', 'O'), ('vcan', 'O'), ('beion', 'O'), ('loss', 'O'), ('if', 'O'), ('not', 'O'), ('treated', 'O'), ('timely.', 'O')]"
Huntington's dcan beease is a hereditary condition that causes the degeneration of brain cells.,"[(""Huntington's"", 'O'), ('dcan', 'O'), ('beease', 'O'), ('is', 'O'), ('a', 'O'), ('hereditary', 'O'), ('condition', 'O'), ('that', 'O'), ('causes', 'O'), ('the', 'O'), ('degeneration', 'O'), ('of', 'O'), ('brain', 'O'), ('cells.', 'O')]"
Sickle cell anemia can be a genetic blood disorder that affects hemoglobin.,"[('Sickle', 'O'), ('cell', 'O'), ('anemia', 'O'), ('can', 'O'), ('be', 'O'), ('a', 'O'), ('genetic', 'O'), ('blood', 'O'), ('disorder', 'O'), ('that', 'O'), ('affects', 'O'), ('hemoglobin.', 'O')]"
"The human immunodeficiency virus (HIV) attacks the immune system, leading to acquired immunodeficiency syndrome (AIDS).","[('The', 'O'), ('human', 'O'), ('immunodeficiency', 'O'), ('virus', 'B'), ('(HIV)', 'O'), ('attacks', 'O'), ('the', 'O'), ('immune', 'O'), ('system,', 'O'), ('leading', 'O'), ('to', 'O'), ('acquired', 'O'), ('immunodeficiency', 'O'), ('syndrome', 'O'), ('(AIDS).', 'O')]"
Pneumonia can be an infection that inflames the air sacs in one or both lungs.,"[('Pneumonia', 'O'), ('can', 'O'), ('be', 'O'), ('an', 'O'), ('infection', 'O'), ('that', 'O'), ('inflames', 'O'), ('the', 'O'), ('air', 'O'), ('sacs', 'O'), ('in', 'O'), ('one', 'O'), ('or', 'O'), ('both', 'O'), ('lungs.', 'O')]"
"Schizophrenia can be a serious mental disorder that affects how a person thinks, feels, and behaves.","[('Schizophrenia', 'O'), ('can', 'O'), ('be', 'O'), ('a', 'O'), ('serious', 'O'), ('mental', 'O'), ('disorder', 'O'), ('that', 'O'), ('affects', 'O'), ('how', 'O'), ('a', 'O'), ('person', 'O'), ('thinks,', 'O'), ('feels,', 'O'), ('and', 'O'), ('behaves.', 'O')]"
The Ebola virus can cause severe viral hemorrhagic fever outbreaks.,"[('The', 'O'), ('Ebola', 'B'), ('virus', 'I'), ('can', 'O'), ('cause', 'O'), ('severe', 'O'), ('viral', 'O'), ('hemorrhagic', 'O'), ('fever', 'B'), ('outbreaks.', 'O')]"
"Psoriascan be is a skin disease that causes red, itchy scaly patches, most commonly on the knees, elbows, trunk, and scalp.","[('Psoriascan', 'O'), ('be', 'O'), ('is', 'O'), ('a', 'O'), ('skin', 'O'), ('disease', 'B'), ('that', 'O'), ('causes', 'O'), ('red,', 'O'), ('itchy', 'O'), ('scaly', 'O'), ('patches,', 'O'), ('most', 'O'), ('commonly', 'O'), ('on', 'O'), ('the', 'O'), ('knees,', 'O'), ('elbows,', 'O'), ('trunk,', 'O'), ('and', 'O'), ('scalp.', 'O')]"
"Gonorrhea can be a sexually transmitted infection that can cause infections in the genitals, rectum, and throat.","[('Gonorrhea', 'O'), ('can', 'O'), ('be', 'O'), ('a', 'O'), ('sexually', 'O'), ('transmitted', 'O'), ('infection', 'O'), ('that', 'O'), ('can', 'O'), ('cause', 'O'), ('infections', 'O'), ('in', 'O'), ('the', 'O'), ('genitals,', 'O'), ('rectum,', 'O'), ('and', 'O'), ('throat.', 'O')]"
Syphilcan be is a bacterial infection usually spread by sexual contact that starts as a painless sore.,"[('Syphilcan', 'O'), ('be', 'O'), ('is', 'O'), ('a', 'O'), ('bacterial', 'O'), ('infection', 'O'), ('usually', 'O'), ('spread', 'O'), ('by', 'O'), ('sexual', 'O'), ('contact', 'O'), ('that', 'O'), ('starts', 'O'), ('as', 'O'), ('a', 'O'), ('painless', 'O'), ('sore.', 'O')]"
"Atrial fibrillation can be an irregular and often rapid heart rate that can increase the risk of strokes, heart failure, and other heart-related complications.","[('Atrial', 'O'), ('fibrillation', 'O'), ('can', 'O'), ('be', 'O'), ('an', 'O'), ('irregular', 'O'), ('and', 'O'), ('often', 'O'), ('rapid', 'O'), ('heart', 'B'), ('rate', 'O'), ('that', 'O'), ('can', 'O'), ('increase', 'O'), ('the', 'O'), ('risk', 'O'), ('of', 'O'), ('strokes,', 'O'), ('heart', 'B'), ('failure,', 'O'), ('and', 'O'), ('other', 'O'), ('heart-related', 'O'), ('complications.', 'O')]"
"Chronic kidney dcan beease affects kidney function over time, leading to a need for dialysis or kidney transplant.","[('Chronic', 'O'), ('kidney', 'O'), ('dcan', 'O'), ('beease', 'O'), ('affects', 'O'), ('kidney', 'O'), ('function', 'O'), ('over', 'O'), ('time,', 'O'), ('leading', 'O'), ('to', 'O'), ('a', 'O'), ('need', 'O'), ('for', 'O'), ('dialysis', 'O'), ('or', 'O'), ('kidney', 'O'), ('transplant.', 'O')]"
"The Zika virus causes a mild infection in most cases, but it can be serious for pregnant women, as it's linked to birth defects.","[('The', 'O'), ('Zika', 'B'), ('virus', 'I'), ('causes', 'O'), ('a', 'O'), ('mild', 'O'), ('infection', 'O'), ('in', 'O'), ('most', 'O'), ('cases,', 'O'), ('but', 'O'), ('it', 'O'), ('can', 'O'), ('be', 'O'), ('serious', 'O'), ('for', 'O'), ('pregnant', 'O'), ('women,', 'O'), ('as', 'O'), (""it's"", 'O'), ('linked', 'O'), ('to', 'O'), ('birth', 'O'), ('defects.', 'O')]"
Chronic obstructive pulmonary dcan beease (COPD) is a chronic inflammatory lung disease that causes obstructed airflow from the lungs.,"[('Chronic', 'O'), ('obstructive', 'O'), ('pulmonary', 'O'), ('dcan', 'O'), ('beease', 'O'), ('(COPD)', 'O'), ('is', 'O'), ('a', 'O'), ('chronic', 'O'), ('inflammatory', 'O'), ('lung', 'O'), ('disease', 'B'), ('that', 'O'), ('causes', 'O'), ('obstructed', 'O'), ('airflow', 'O'), ('from', 'O'), ('the', 'O'), ('lungs.', 'O')]"
Lupus can be a systemic autoimmune disease that occurs when your body's immune system attacks your own tissues and organs.,"[('Lupus', 'O'), ('can', 'O'), ('be', 'O'), ('a', 'O'), ('systemic', 'O'), ('autoimmune', 'O'), ('disease', 'B'), ('that', 'O'), ('occurs', 'O'), ('when', 'O'), ('your', 'O'), (""body's"", 'O'), ('immune', 'O'), ('system', 'O'), ('attacks', 'O'), ('your', 'O'), ('own', 'O'), ('tissues', 'O'), ('and', 'O'), ('organs.', 'O')]"
"The development of atheroscleroscan be can lead to coronary artery disease, characterized by the narrowing or blocking of coronary arteries.","[('The', 'O'), ('development', 'O'), ('of', 'O'), ('atheroscleroscan', 'O'), ('be', 'O'), ('can', 'O'), ('lead', 'O'), ('to', 'O'), ('coronary', 'O'), ('artery', 'O'), ('disease,', 'O'), ('characterized', 'O'), ('by', 'O'), ('the', 'O'), ('narrowing', 'O'), ('or', 'O'), ('blocking', 'O'), ('of', 'O'), ('coronary', 'O'), ('arteries.', 'O')]"
"Peptic ulcer dcan beease involves the formation of open sores in the lining of the stomach, upper small intestine, or esophagus.","[('Peptic', 'O'), ('ulcer', 'O'), ('dcan', 'O'), ('beease', 'O'), ('involves', 'O'), ('the', 'O'), ('formation', 'O'), ('of', 'O'), ('open', 'O'), ('sores', 'O'), ('in', 'O'), ('the', 'O'), ('lining', 'O'), ('of', 'O'), ('the', 'O'), ('stomach,', 'O'), ('upper', 'O'), ('small', 'O'), ('intestine,', 'O'), ('or', 'O'), ('esophagus.', 'O')]"
The transmcan besion of the West Nile virus to humans typically occurs through the bite of an infected mosquito.,"[('The', 'O'), ('transmcan', 'O'), ('besion', 'O'), ('of', 'O'), ('the', 'O'), ('West', 'O'), ('Nile', 'O'), ('virus', 'B'), ('to', 'O'), ('humans', 'O'), ('typically', 'O'), ('occurs', 'O'), ('through', 'O'), ('the', 'O'), ('bite', 'O'), ('of', 'O'), ('an', 'O'), ('infected', 'O'), ('mosquito.', 'O')]"
Crohn's dcan beease is a type of inflammatory bowel disease (IBD) that may affect any part of the gastrointestinal tract.,"[(""Crohn's"", 'O'), ('dcan', 'O'), ('beease', 'O'), ('is', 'O'), ('a', 'O'), ('type', 'O'), ('of', 'O'), ('inflammatory', 'O'), ('bowel', 'O'), ('disease', 'B'), ('(IBD)', 'O'), ('that', 'O'), ('may', 'O'), ('affect', 'O'), ('any', 'O'), ('part', 'O'), ('of', 'O'), ('the', 'O'), ('gastrointestinal', 'O'), ('tract.', 'O')]"
"Polio can be a contagious viral illness that in its most severe form causes nerve injury leading to paralysis, difficulty breathing, and sometimes death.","[('Polio', 'O'), ('can', 'O'), ('be', 'O'), ('a', 'O'), ('contagious', 'O'), ('viral', 'O'), ('illness', 'O'), ('that', 'O'), ('in', 'O'), ('its', 'O'), ('most', 'O'), ('severe', 'O'), ('form', 'O'), ('causes', 'O'), ('nerve', 'O'), ('injury', 'O'), ('leading', 'O'), ('to', 'O'), ('paralysis,', 'O'), ('difficulty', 'O'), ('breathing,', 'O'), ('and', 'O'), ('sometimes', 'O'), ('death.', 'O')]"
"Anorexia nervosa can be an eating disorder characterized by an abnormally low body weight, intense fear of gaining weight, and a distorted perception of body weight.","[('Anorexia', 'O'), ('nervosa', 'O'), ('can', 'O'), ('be', 'O'), ('an', 'O'), ('eating', 'O'), ('disorder', 'O'), ('characterized', 'O'), ('by', 'O'), ('an', 'O'), ('abnormally', 'O'), ('low', 'O'), ('body', 'O'), ('weight,', 'O'), ('intense', 'O'), ('fear', 'O'), ('of', 'O'), ('gaining', 'O'), ('weight,', 'O'), ('and', 'O'), ('a', 'O'), ('distorted', 'O'), ('perception', 'O'), ('of', 'O'), ('body', 'O'), ('weight.', 'O')]"
The transmcan besion of Lyme disease occurs through the bite of infected ticks carrying the bacterium Borrelia burgdorferi.,"[('The', 'O'), ('transmcan', 'O'), ('besion', 'O'), ('of', 'O'), ('Lyme', 'B'), ('disease', 'I'), ('occurs', 'O'), ('through', 'O'), ('the', 'O'), ('bite', 'O'), ('of', 'O'), ('infected', 'O'), ('ticks', 'O'), ('carrying', 'O'), ('the', 'O'), ('bacterium', 'O'), ('Borrelia', 'O'), ('burgdorferi.', 'O')]"
Yellow fever can be a viral infection transmitted by a particular species of mosquitoes.,"[('Yellow', 'O'), ('fever', 'B'), ('can', 'O'), ('be', 'O'), ('a', 'O'), ('viral', 'O'), ('infection', 'O'), ('transmitted', 'O'), ('by', 'O'), ('a', 'O'), ('particular', 'O'), ('species', 'O'), ('of', 'O'), ('mosquitoes.', 'O')]"
Acute myeloid leukemia presents a challenge in blood cell production and function.,"[('Acute', 'O'), ('myeloid', 'O'), ('leukemia', 'O'), ('presents', 'O'), ('a', 'O'), ('challenge', 'O'), ('in', 'O'), ('blood', 'O'), ('cell', 'O'), ('production', 'O'), ('and', 'O'), ('function.', 'O')]"
The incidence of skin cancer increases with excessive exposure to ultraviolet radiation.,"[('The', 'O'), ('incidence', 'O'), ('of', 'O'), ('skin', 'O'), ('cancer', 'B'), ('increases', 'O'), ('with', 'O'), ('excessive', 'O'), ('exposure', 'O'), ('to', 'O'), ('ultraviolet', 'O'), ('radiation.', 'O')]"
Glaucoma can lead to vcan beion loss if not treated timely.,"[('Glaucoma', 'O'), ('can', 'O'), ('lead', 'O'), ('to', 'O'), ('vcan', 'O'), ('beion', 'O'), ('loss', 'O'), ('if', 'O'), ('not', 'O'), ('treated', 'O'), ('timely.', 'O')]"
Huntington's dcan beease is a hereditary condition that causes the degeneration of brain cells.,"[(""Huntington's"", 'O'), ('dcan', 'O'), ('beease', 'O'), ('is', 'O'), ('a', 'O'), ('hereditary', 'O'), ('condition', 'O'), ('that', 'O'), ('causes', 'O'), ('the', 'O'), ('degeneration', 'O'), ('of', 'O'), ('brain', 'O'), ('cells.', 'O')]"
Sickle cell anemia can be a genetic blood disorder that affects hemoglobin.,"[('Sickle', 'O'), ('cell', 'O'), ('anemia', 'O'), ('can', 'O'), ('be', 'O'), ('a', 'O'), ('genetic', 'O'), ('blood', 'O'), ('disorder', 'O'), ('that', 'O'), ('affects', 'O'), ('hemoglobin.', 'O')]"
