Sentence,Gold,Pred
The variable penetrance of BRCA1 suggests that other genetic and non - genetic factors play a role in tumourigenesis in these individuals .,"(('The', 'O'), ('variable', 'O'), ('penetrance', 'O'), ('of', 'O'), ('BRCA1', 'O'), ('suggests', 'O'), ('that', 'O'), ('other', 'O'), ('genetic', 'O'), ('and', 'O'), ('non', 'O'), ('-', 'O'), ('genetic', 'O'), ('factors', 'O'), ('play', 'O'), ('a', 'O'), ('role', 'O'), ('in', 'O'), ('tumourigenesis', 'O'), ('in', 'O'), ('these', 'O'), ('individuals', 'O'), ('.', 'O'))","(('The', 'O'), ('variable', 'O'), ('penetrance', 'O'), ('of', 'O'), ('BRCA1', 'O'), ('suggests', 'O'), ('that', 'O'), ('other', 'O'), ('genetic', 'O'), ('and', 'O'), ('non', 'O'), ('-', 'O'), ('genetic', 'O'), ('factors', 'O'), ('play', 'O'), ('a', 'O'), ('role', 'O'), ('in', 'O'), ('tumourigenesis', 'B'), ('in', 'O'), ('these', 'O'), ('individuals', 'O'), ('.', 'O'))"
Definition of the genetic events that trigger apoptosis in the prostate could provide important insights into critical pathways in normal development as well as elucidate the perturbations of those key pathways in neoplastic transformation .,"(('Definition', 'O'), ('of', 'O'), ('the', 'O'), ('genetic', 'O'), ('events', 'O'), ('that', 'O'), ('trigger', 'O'), ('apoptosis', 'O'), ('in', 'O'), ('the', 'O'), ('prostate', 'O'), ('could', 'O'), ('provide', 'O'), ('important', 'O'), ('insights', 'O'), ('into', 'O'), ('critical', 'O'), ('pathways', 'O'), ('in', 'O'), ('normal', 'O'), ('development', 'O'), ('as', 'O'), ('well', 'O'), ('as', 'O'), ('elucidate', 'O'), ('the', 'O'), ('perturbations', 'O'), ('of', 'O'), ('those', 'O'), ('key', 'O'), ('pathways', 'O'), ('in', 'O'), ('neoplastic', 'O'), ('transformation', 'O'), ('.', 'O'))","(('Definition', 'O'), ('of', 'O'), ('the', 'O'), ('genetic', 'O'), ('events', 'O'), ('that', 'O'), ('trigger', 'O'), ('apoptosis', 'O'), ('in', 'O'), ('the', 'O'), ('prostate', 'O'), ('could', 'O'), ('provide', 'O'), ('important', 'O'), ('insights', 'O'), ('into', 'O'), ('critical', 'O'), ('pathways', 'O'), ('in', 'O'), ('normal', 'O'), ('development', 'O'), ('as', 'O'), ('well', 'O'), ('as', 'O'), ('elucidate', 'O'), ('the', 'O'), ('perturbations', 'O'), ('of', 'O'), ('those', 'O'), ('key', 'O'), ('pathways', 'O'), ('in', 'O'), ('neoplastic', 'B'), ('transformation', 'O'), ('.', 'O'))"
We report the functional definition of a novel genetic locus within human chromosome 10pter - q11 that mediates both in vivo tumor suppression and in vitro apoptosis of prostatic adenocarcinoma cells .,"(('We', 'O'), ('report', 'O'), ('the', 'O'), ('functional', 'O'), ('definition', 'O'), ('of', 'O'), ('a', 'O'), ('novel', 'O'), ('genetic', 'O'), ('locus', 'O'), ('within', 'O'), ('human', 'O'), ('chromosome', 'O'), ('10pter', 'O'), ('-', 'O'), ('q11', 'O'), ('that', 'O'), ('mediates', 'O'), ('both', 'O'), ('in', 'O'), ('vivo', 'O'), ('tumor', 'O'), ('suppression', 'O'), ('and', 'O'), ('in', 'O'), ('vitro', 'O'), ('apoptosis', 'O'), ('of', 'O'), ('prostatic', 'B'), ('adenocarcinoma', 'I'), ('cells', 'O'), ('.', 'O'))","(('We', 'O'), ('report', 'O'), ('the', 'O'), ('functional', 'O'), ('definition', 'O'), ('of', 'O'), ('a', 'O'), ('novel', 'O'), ('genetic', 'O'), ('locus', 'O'), ('within', 'O'), ('human', 'O'), ('chromosome', 'O'), ('10pter', 'O'), ('-', 'O'), ('q11', 'O'), ('that', 'O'), ('mediates', 'O'), ('both', 'O'), ('in', 'O'), ('vivo', 'O'), ('tumor', 'B'), ('suppression', 'O'), ('and', 'O'), ('in', 'O'), ('vitro', 'O'), ('apoptosis', 'O'), ('of', 'O'), ('prostatic', 'B'), ('adenocarcinoma', 'I'), ('cells', 'O'), ('.', 'O'))"
Microcell hybrids containing only the region 10pter - q11 were suppressed for tumorigenicity following injection of microcell hybrids into nude mice .,"(('Microcell', 'O'), ('hybrids', 'O'), ('containing', 'O'), ('only', 'O'), ('the', 'O'), ('region', 'O'), ('10pter', 'O'), ('-', 'O'), ('q11', 'O'), ('were', 'O'), ('suppressed', 'O'), ('for', 'O'), ('tumorigenicity', 'O'), ('following', 'O'), ('injection', 'O'), ('of', 'O'), ('microcell', 'O'), ('hybrids', 'O'), ('into', 'O'), ('nude', 'O'), ('mice', 'O'), ('.', 'O'))","(('Microcell', 'O'), ('hybrids', 'O'), ('containing', 'O'), ('only', 'O'), ('the', 'O'), ('region', 'O'), ('10pter', 'O'), ('-', 'O'), ('q11', 'O'), ('were', 'O'), ('suppressed', 'O'), ('for', 'O'), ('tumorigenicity', 'B'), ('following', 'O'), ('injection', 'O'), ('of', 'O'), ('microcell', 'O'), ('hybrids', 'O'), ('into', 'O'), ('nude', 'O'), ('mice', 'O'), ('.', 'O'))"
"Furthermore , the complemented hybrids undergo programmed cell death in vitro via a mechanism that does not require nuclear localization of p53 .","(('Furthermore', 'O'), (',', 'O'), ('the', 'O'), ('complemented', 'O'), ('hybrids', 'O'), ('undergo', 'O'), ('programmed', 'O'), ('cell', 'O'), ('death', 'O'), ('in', 'O'), ('vitro', 'O'), ('via', 'O'), ('a', 'O'), ('mechanism', 'O'), ('that', 'O'), ('does', 'O'), ('not', 'O'), ('require', 'O'), ('nuclear', 'O'), ('localization', 'O'), ('of', 'O'), ('p53', 'O'), ('.', 'O'))","(('Furthermore', 'O'), (',', 'O'), ('the', 'O'), ('complemented', 'O'), ('hybrids', 'O'), ('undergo', 'O'), ('programmed', 'O'), ('cell', 'O'), ('death', 'I'), ('in', 'O'), ('vitro', 'O'), ('via', 'O'), ('a', 'O'), ('mechanism', 'O'), ('that', 'O'), ('does', 'O'), ('not', 'O'), ('require', 'O'), ('nuclear', 'O'), ('localization', 'O'), ('of', 'O'), ('p53', 'O'), ('.', 'O'))"
"These data functionally define a novel genetic locus , designated PAC1 , for prostate adenocarcinoma 1 , involved in tumor suppression of human prostate carcinoma and furthermore strongly suggest that the cell death pathway can be functionally restored in prostatic adenocarcinoma . .","(('These', 'O'), ('data', 'O'), ('functionally', 'O'), ('define', 'O'), ('a', 'O'), ('novel', 'O'), ('genetic', 'O'), ('locus', 'O'), (',', 'O'), ('designated', 'O'), ('PAC1', 'O'), (',', 'O'), ('for', 'O'), ('prostate', 'O'), ('adenocarcinoma', 'O'), ('1', 'O'), (',', 'O'), ('involved', 'O'), ('in', 'O'), ('tumor', 'O'), ('suppression', 'O'), ('of', 'O'), ('human', 'O'), ('prostate', 'B'), ('carcinoma', 'I'), ('and', 'O'), ('furthermore', 'O'), ('strongly', 'O'), ('suggest', 'O'), ('that', 'O'), ('the', 'O'), ('cell', 'O'), ('death', 'O'), ('pathway', 'O'), ('can', 'O'), ('be', 'O'), ('functionally', 'O'), ('restored', 'O'), ('in', 'O'), ('prostatic', 'B'), ('adenocarcinoma', 'I'), ('.', 'O'), ('.', 'O'))","(('These', 'O'), ('data', 'O'), ('functionally', 'O'), ('define', 'O'), ('a', 'O'), ('novel', 'O'), ('genetic', 'O'), ('locus', 'O'), (',', 'O'), ('designated', 'O'), ('PAC1', 'O'), (',', 'O'), ('for', 'O'), ('prostate', 'B'), ('adenocarcinoma', 'I'), ('1', 'O'), (',', 'O'), ('involved', 'O'), ('in', 'O'), ('tumor', 'B'), ('suppression', 'O'), ('of', 'O'), ('human', 'O'), ('prostate', 'B'), ('carcinoma', 'I'), ('and', 'O'), ('furthermore', 'O'), ('strongly', 'O'), ('suggest', 'O'), ('that', 'O'), ('the', 'O'), ('cell', 'O'), ('death', 'O'), ('pathway', 'O'), ('can', 'O'), ('be', 'O'), ('functionally', 'O'), ('restored', 'O'), ('in', 'O'), ('prostatic', 'B'), ('adenocarcinoma', 'I'), ('.', 'O'), ('.', 'O'))"
The tumor suppressor gene Brca1 is required for embryonic cellular proliferation in the mouse .,"(('The', 'O'), ('tumor', 'B'), ('suppressor', 'O'), ('gene', 'O'), ('Brca1', 'O'), ('is', 'O'), ('required', 'O'), ('for', 'O'), ('embryonic', 'O'), ('cellular', 'O'), ('proliferation', 'O'), ('in', 'O'), ('the', 'O'), ('mouse', 'O'), ('.', 'O'))","(('The', 'O'), ('tumor', 'O'), ('suppressor', 'O'), ('gene', 'O'), ('Brca1', 'O'), ('is', 'O'), ('required', 'O'), ('for', 'O'), ('embryonic', 'O'), ('cellular', 'O'), ('proliferation', 'O'), ('in', 'O'), ('the', 'O'), ('mouse', 'O'), ('.', 'O'))"
"The findings suggest that both HDL concentration and the dynamics of cholesterol transport through HDL ( i . e . , reverse cholesterol transport ) determine the anti - atherogenicity of the HDL fraction .","(('The', 'O'), ('findings', 'O'), ('suggest', 'O'), ('that', 'O'), ('both', 'O'), ('HDL', 'O'), ('concentration', 'O'), ('and', 'O'), ('the', 'O'), ('dynamics', 'O'), ('of', 'O'), ('cholesterol', 'O'), ('transport', 'O'), ('through', 'O'), ('HDL', 'O'), ('(', 'O'), ('i', 'O'), ('.', 'O'), ('e', 'O'), ('.', 'O'), (',', 'O'), ('reverse', 'O'), ('cholesterol', 'O'), ('transport', 'O'), (')', 'O'), ('determine', 'O'), ('the', 'O'), ('anti', 'O'), ('-', 'O'), ('atherogenicity', 'O'), ('of', 'O'), ('the', 'O'), ('HDL', 'O'), ('fraction', 'O'), ('.', 'O'))","(('The', 'O'), ('findings', 'O'), ('suggest', 'O'), ('that', 'O'), ('both', 'O'), ('HDL', 'O'), ('concentration', 'O'), ('and', 'O'), ('the', 'O'), ('dynamics', 'O'), ('of', 'O'), ('cholesterol', 'O'), ('transport', 'O'), ('through', 'O'), ('HDL', 'O'), ('(', 'O'), ('i', 'O'), ('.', 'O'), ('e', 'O'), ('.', 'O'), (',', 'O'), ('reverse', 'O'), ('cholesterol', 'O'), ('transport', 'O'), (')', 'O'), ('determine', 'O'), ('the', 'O'), ('anti', 'O'), ('-', 'O'), ('atherogenicity', 'B'), ('of', 'O'), ('the', 'O'), ('HDL', 'O'), ('fraction', 'O'), ('.', 'O'))"
"To begin to address the hypothesis that abnormal regulation of the breast / ovarian cancer susceptibility gene BRCA1 is a critical step in sporadic breast / ovarian tumorigenesis , we have determined the detailed structure of the BRCA1 genomic region .","(('To', 'O'), ('begin', 'O'), ('to', 'O'), ('address', 'O'), ('the', 'O'), ('hypothesis', 'O'), ('that', 'O'), ('abnormal', 'O'), ('regulation', 'O'), ('of', 'O'), ('the', 'O'), ('breast', 'B'), ('/', 'I'), ('ovarian', 'I'), ('cancer', 'I'), ('susceptibility', 'O'), ('gene', 'O'), ('BRCA1', 'O'), ('is', 'O'), ('a', 'O'), ('critical', 'O'), ('step', 'O'), ('in', 'O'), ('sporadic', 'O'), ('breast', 'O'), ('/', 'O'), ('ovarian', 'O'), ('tumorigenesis', 'O'), (',', 'O'), ('we', 'O'), ('have', 'O'), ('determined', 'O'), ('the', 'O'), ('detailed', 'O'), ('structure', 'O'), ('of', 'O'), ('the', 'O'), ('BRCA1', 'O'), ('genomic', 'O'), ('region', 'O'), ('.', 'O'))","(('To', 'O'), ('begin', 'O'), ('to', 'O'), ('address', 'O'), ('the', 'O'), ('hypothesis', 'O'), ('that', 'O'), ('abnormal', 'O'), ('regulation', 'O'), ('of', 'O'), ('the', 'O'), ('breast', 'B'), ('/', 'I'), ('ovarian', 'I'), ('cancer', 'I'), ('susceptibility', 'O'), ('gene', 'O'), ('BRCA1', 'O'), ('is', 'O'), ('a', 'O'), ('critical', 'O'), ('step', 'O'), ('in', 'O'), ('sporadic', 'O'), ('breast', 'B'), ('/', 'I'), ('ovarian', 'I'), ('tumorigenesis', 'I'), (',', 'O'), ('we', 'O'), ('have', 'O'), ('determined', 'O'), ('the', 'O'), ('detailed', 'O'), ('structure', 'O'), ('of', 'O'), ('the', 'O'), ('BRCA1', 'O'), ('genomic', 'O'), ('region', 'O'), ('.', 'O'))"
Chromosome 3p deletion was detected in 98 per cent of non - papillary renal cell carcinomas and in 25 per cent of chromophobe renal cell carcinomas .,"(('Chromosome', 'O'), ('3p', 'O'), ('deletion', 'O'), ('was', 'O'), ('detected', 'O'), ('in', 'O'), ('98', 'O'), ('per', 'O'), ('cent', 'O'), ('of', 'O'), ('non', 'B'), ('-', 'I'), ('papillary', 'I'), ('renal', 'I'), ('cell', 'I'), ('carcinomas', 'I'), ('and', 'O'), ('in', 'O'), ('25', 'O'), ('per', 'O'), ('cent', 'O'), ('of', 'O'), ('chromophobe', 'O'), ('renal', 'B'), ('cell', 'I'), ('carcinomas', 'I'), ('.', 'O'))","(('Chromosome', 'O'), ('3p', 'O'), ('deletion', 'O'), ('was', 'O'), ('detected', 'O'), ('in', 'O'), ('98', 'O'), ('per', 'O'), ('cent', 'O'), ('of', 'O'), ('non', 'O'), ('-', 'O'), ('papillary', 'B'), ('renal', 'I'), ('cell', 'I'), ('carcinomas', 'I'), ('and', 'O'), ('in', 'O'), ('25', 'O'), ('per', 'O'), ('cent', 'O'), ('of', 'O'), ('chromophobe', 'B'), ('renal', 'I'), ('cell', 'I'), ('carcinomas', 'I'), ('.', 'O'))"
"In 22 of the 43 non - papillary renal cell carcinomas , abnormally migrating DNA bands were detected by SSCP and / or HD analysis .","(('In', 'O'), ('22', 'O'), ('of', 'O'), ('the', 'O'), ('43', 'O'), ('non', 'B'), ('-', 'I'), ('papillary', 'I'), ('renal', 'I'), ('cell', 'I'), ('carcinomas', 'I'), (',', 'O'), ('abnormally', 'O'), ('migrating', 'O'), ('DNA', 'O'), ('bands', 'O'), ('were', 'O'), ('detected', 'O'), ('by', 'O'), ('SSCP', 'O'), ('and', 'O'), ('/', 'O'), ('or', 'O'), ('HD', 'O'), ('analysis', 'O'), ('.', 'O'))","(('In', 'O'), ('22', 'O'), ('of', 'O'), ('the', 'O'), ('43', 'O'), ('non', 'O'), ('-', 'O'), ('papillary', 'B'), ('renal', 'I'), ('cell', 'I'), ('carcinomas', 'I'), (',', 'O'), ('abnormally', 'O'), ('migrating', 'O'), ('DNA', 'O'), ('bands', 'O'), ('were', 'O'), ('detected', 'O'), ('by', 'O'), ('SSCP', 'O'), ('and', 'O'), ('/', 'O'), ('or', 'O'), ('HD', 'O'), ('analysis', 'O'), ('.', 'O'))"
"In yeast , mutations in several genes , including RTH and MSH3 , cause microsatellite instability .","(('In', 'O'), ('yeast', 'O'), (',', 'O'), ('mutations', 'O'), ('in', 'O'), ('several', 'O'), ('genes', 'O'), (',', 'O'), ('including', 'O'), ('RTH', 'O'), ('and', 'O'), ('MSH3', 'O'), (',', 'O'), ('cause', 'O'), ('microsatellite', 'O'), ('instability', 'O'), ('.', 'O'))","(('In', 'O'), ('yeast', 'O'), (',', 'O'), ('mutations', 'O'), ('in', 'O'), ('several', 'O'), ('genes', 'O'), (',', 'O'), ('including', 'O'), ('RTH', 'O'), ('and', 'O'), ('MSH3', 'O'), (',', 'O'), ('cause', 'O'), ('microsatellite', 'B'), ('instability', 'O'), ('.', 'O'))"
This cellular transformation in vitro will facilitate studies on the mechanism of PAX3 - FKHR - induced oncogenesis . .,"(('This', 'O'), ('cellular', 'O'), ('transformation', 'O'), ('in', 'O'), ('vitro', 'O'), ('will', 'O'), ('facilitate', 'O'), ('studies', 'O'), ('on', 'O'), ('the', 'O'), ('mechanism', 'O'), ('of', 'O'), ('PAX3', 'O'), ('-', 'O'), ('FKHR', 'O'), ('-', 'O'), ('induced', 'O'), ('oncogenesis', 'O'), ('.', 'O'), ('.', 'O'))","(('This', 'O'), ('cellular', 'O'), ('transformation', 'O'), ('in', 'O'), ('vitro', 'O'), ('will', 'O'), ('facilitate', 'O'), ('studies', 'O'), ('on', 'O'), ('the', 'O'), ('mechanism', 'O'), ('of', 'O'), ('PAX3', 'O'), ('-', 'O'), ('FKHR', 'O'), ('-', 'O'), ('induced', 'O'), ('oncogenesis', 'B'), ('.', 'O'), ('.', 'O'))"
In order to test this possibility we have analyzed four heterozygotes for class I G6PD mutations two with G6PD Portici ( 1178G - - > A ) and two with G6PD Bari ( 1187C - - > T ) .,"(('In', 'O'), ('order', 'O'), ('to', 'O'), ('test', 'O'), ('this', 'O'), ('possibility', 'O'), ('we', 'O'), ('have', 'O'), ('analyzed', 'O'), ('four', 'O'), ('heterozygotes', 'O'), ('for', 'O'), ('class', 'O'), ('I', 'O'), ('G6PD', 'O'), ('mutations', 'O'), ('two', 'O'), ('with', 'O'), ('G6PD', 'O'), ('Portici', 'O'), ('(', 'O'), ('1178G', 'O'), ('-', 'O'), ('-', 'O'), ('>', 'O'), ('A', 'O'), (')', 'O'), ('and', 'O'), ('two', 'O'), ('with', 'O'), ('G6PD', 'O'), ('Bari', 'O'), ('(', 'O'), ('1187C', 'O'), ('-', 'O'), ('-', 'O'), ('>', 'O'), ('T', 'O'), (')', 'O'), ('.', 'O'))","(('In', 'O'), ('order', 'O'), ('to', 'O'), ('test', 'O'), ('this', 'O'), ('possibility', 'O'), ('we', 'O'), ('have', 'O'), ('analyzed', 'O'), ('four', 'O'), ('heterozygotes', 'O'), ('for', 'O'), ('class', 'O'), ('I', 'O'), ('G6PD', 'O'), ('mutations', 'O'), ('two', 'O'), ('with', 'O'), ('G6PD', 'O'), ('Portici', 'B'), ('(', 'O'), ('1178G', 'O'), ('-', 'O'), ('-', 'O'), ('>', 'O'), ('A', 'O'), (')', 'O'), ('and', 'O'), ('two', 'O'), ('with', 'O'), ('G6PD', 'O'), ('Bari', 'O'), ('(', 'O'), ('1187C', 'O'), ('-', 'O'), ('-', 'O'), ('>', 'O'), ('T', 'O'), (')', 'O'), ('.', 'O'))"
"The homozygous mutant ( ATM - / - ) mice are viable , growth - retarded , and infertile .","(('The', 'O'), ('homozygous', 'O'), ('mutant', 'O'), ('(', 'O'), ('ATM', 'O'), ('-', 'O'), ('/', 'O'), ('-', 'O'), (')', 'O'), ('mice', 'O'), ('are', 'O'), ('viable', 'O'), (',', 'O'), ('growth', 'O'), ('-', 'O'), ('retarded', 'O'), (',', 'O'), ('and', 'O'), ('infertile', 'O'), ('.', 'O'))","(('The', 'O'), ('homozygous', 'O'), ('mutant', 'O'), ('(', 'O'), ('ATM', 'O'), ('-', 'O'), ('/', 'O'), ('-', 'O'), (')', 'O'), ('mice', 'O'), ('are', 'O'), ('viable', 'O'), (',', 'O'), ('growth', 'B'), ('-', 'I'), ('retarded', 'I'), (',', 'O'), ('and', 'O'), ('infertile', 'B'), ('.', 'O'))"
